Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,0x100,false,Rx,0,8,0x4C,0x04,0x00,0x00,0x00,0x00,0x00,0x00
0,0x111,false,Rx,0,8,0x00,0x3D,0x00,0x00,0x00,0x00,0x00,0x00
0,0x121,false,Rx,0,8,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x00
0,0x126,false,Rx,0,8,0x00,0x00,0x06,0x00,0x0C,0x00,0x00,0x00
0,0x127,false,Rx,0,8,0x00,0x00,0x06,0x00,0x0C,0x00,0x00,0x00
0,0x128,false,Rx,0,8,0x00,0x00,0x06,0x00,0x0C,0x00,0x00,0x00
0,0x129,false,Rx,0,8,0x00,0x00,0x06,0x00,0x0C,0x00,0x00,0x00
0,0x132,false,Rx,0,8,0x00,0x15,0x00,0x00,0x00,0x00,0x00,0x00
0,0x133,false,Rx,0,8,0x00,0x02,0x00,0x00,0x00,0x00,0x00,0x00
100000,0x100,false,Rx,0,8,0xB0,0x04,0x00,0x00,0x00,0x00,0x00,0x00
100000,0x111,false,Rx,0,8,0x00,0x3E,0x00,0x00,0x00,0x00,0x00,0x00
100000,0x121,false,Rx,0,8,0x00,0x00,0x02,0x00,0x00,0x00,0x00,0x00
100000,0x126,false,Rx,0,8,0x00,0x00,0x07,0x00,0x0D,0x00,0x00,0x00
100000,0x127,false,Rx,0,8,0x00,0x00,0x07,0x00,0x0D,0x00,0x00,0x00
100000,0x128,false,Rx,0,8,0x00,0x00,0x07,0x00,0x0D,0x00,0x00,0x00
100000,0x129,false,Rx,0,8,0x00,0x00,0x07,0x00,0x0D,0x00,0x00,0x00
100000,0x132,false,Rx,0,8,0x00,0x16,0x00,0x00,0x00,0x00,0x00,0x00
100000,0x133,false,Rx,0,8,0x00,0x03,0x00,0x00,0x00,0x00,0x00,0x00
200000,0x100,false,Rx,0,8,0x14,0x05,0x00,0x00,0x00,0x00,0x00,0x00
200000,0x111,false,Rx,0,8,0x00,0x3F,0x00,0x00,0x00,0x00,0x00,0x00
200000,0x121,false,Rx,0,8,0x00,0x00,0x03,0x00,0x00,0x00,0x00,0x00
200000,0x126,false,Rx,0,8,0x00,0x00,0x08,0x00,0x0E,0x00,0x00,0x00
200000,0x127,false,Rx,0,8,0x00,0x00,0x08,0x00,0x0E,0x00,0x00,0x00
200000,0x128,false,Rx,0,8,0x00,0x00,0x08,0x00,0x0E,0x00,0x00,0x00
200000,0x129,false,Rx,0,8,0x00,0x00,0x08,0x00,0x0E,0x00,0x00,0x00
200000,0x132,false,Rx,0,8,0x00,0x17,0x00,0x00,0x00,0x00,0x00,0x00
200000,0x133,false,Rx,0,8,0x00,0x04,0x00,0x00,0x00,0x00,0x00,0x00
300000,0x100,false,Rx,0,8,0x78,0x05,0x00,0x00,0x00,0x00,0x00,0x00
300000,0x111,false,Rx,0,8,0x00,0x40,0x00,0x00,0x00,0x00,0x00,0x00
300000,0x121,false,Rx,0,8,0x00,0x00,0x04,0x00,0x00,0x00,0x00,0x00
300000,0x126,false,Rx,0,8,0x00,0x00,0x09,0x00,0x0F,0x00,0x00,0x00
300000,0x127,false,Rx,0,8,0x00,0x00,0x09,0x00,0x0F,0x00,0x00,0x00
300000,0x128,false,Rx,0,8,0x00,0x00,0x09,0x00,0x0F,0x00,0x00,0x00
300000,0x129,false,Rx,0,8,0x00,0x00,0x09,0x00,0x0F,0x00,0x00,0x00
300000,0x132,false,Rx,0,8,0x00,0x18,0x00,0x00,0x00,0x00,0x00,0x00
300000,0x133,false,Rx,0,8,0x00,0x05,0x00,0x00,0x00,0x00,0x00,0x00
400000,0x100,false,Rx,0,8,0xDC,0x05,0x00,0x00,0x00,0x00,0x00,0x00
400000,0x111,false,Rx,0,8,0x00,0x41,0x00,0x00,0x00,0x00,0x00,0x00
400000,0x121,false,Rx,0,8,0x00,0x00,0x05,0x00,0x00,0x00,0x00,0x00
400000,0x126,false,Rx,0,8,0x00,0x00,0x0A,0x00,0x10,0x00,0x00,0x00
400000,0x127,false,Rx,0,8,0x00,0x00,0x0A,0x00,0x10,0x00,0x00,0x00
400000,0x128,false,Rx,0,8,0x00,0x00,0x0A,0x00,0x10,0x00,0x00,0x00
400000,0x129,false,Rx,0,8,0x00,0x00,0x0A,0x00,0x10,0x00,0x00,0x00
400000,0x132,false,Rx,0,8,0x00,0x19,0x00,0x00,0x00,0x00,0x00,0x00
400000,0x133,false,Rx,0,8,0x00,0x06,0x00,0x00,0x00,0x00,0x00,0x00
500000,0x100,false,Rx,0,8,0x40,0x06,0x00,0x00,0x00,0x00,0x00,0x00
500000,0x111,false,Rx,0,8,0x00,0x42,0x00,0x00,0x00,0x00,0x00,0x00
500000,0x121,false,Rx,0,8,0x00,0x00,0x06,0x00,0x00,0x00,0x00,0x00
500000,0x126,false,Rx,0,8,0x00,0x00,0x0B,0x00,0x11,0x00,0x00,0x00
500000,0x127,false,Rx,0,8,0x00,0x00,0x0B,0x00,0x11,0x00,0x00,0x00
500000,0x128,false,Rx,0,8,0x00,0x00,0x0B,0x00,0x11,0x00,0x00,0x00
500000,0x129,false,Rx,0,8,0x00,0x00,0x0B,0x00,0x11,0x00,0x00,0x00
500000,0x132,false,Rx,0,8,0x00,0x1A,0x00,0x00,0x00,0x00,0x00,0x00
500000,0x133,false,Rx,0,8,0x00,0x07,0x00,0x00,0x00,0x00,0x00,0x00
600000,0x100,false,Rx,0,8,0xA4,0x06,0x00,0x00,0x00,0x00,0x00,0x00
600000,0x111,false,Rx,0,8,0x00,0x43,0x00,0x00,0x00,0x00,0x00,0x00
600000,0x121,false,Rx,0,8,0x00,0x00,0x05,0x00,0x00,0x00,0x00,0x00
600000,0x126,false,Rx,0,8,0x00,0x00,0x0C,0x00,0x12,0x00,0x00,0x00
600000,0x127,false,Rx,0,8,0x00,0x00,0x0C,0x00,0x12,0x00,0x00,0x00
600000,0x128,false,Rx,0,8,0x00,0x00,0x0C,0x00,0x12,0x00,0x00,0x00
600000,0x129,false,Rx,0,8,0x00,0x00,0x0C,0x00,0x12,0x00,0x00,0x00
600000,0x132,false,Rx,0,8,0x00,0x1B,0x00,0x00,0x00,0x00,0x00,0x00
600000,0x133,false,Rx,0,8,0x00,0x08,0x00,0x00,0x00,0x00,0x00,0x00
700000,0x100,false,Rx,0,8,0x08,0x07,0x00,0x00,0x00,0x00,0x00,0x00
